,datetime,tempmin,temp,tempmax
0,2023-06-12,16.8,20.5,26.7
1,2023-06-13,16.2,17.8,20.9
2,2023-06-14,15.7,18.5,25.6
3,2023-06-15,16.1,21.0,26.1
4,2023-06-16,18.7,22.1,25.7
5,2023-06-17,14.4,17.3,20.6
6,2023-06-18,15.0,16.8,18.5
7,2023-06-19,15.5,16.8,18.0
