,datetime,description,icon
0,2023-06-12,Partly cloudy throughout the day with late afternoon rain.,rain
1,2023-06-13,Cloudy skies throughout the day with early morning rain.,rain
2,2023-06-14,Partly cloudy throughout the day with late afternoon rain.,rain
3,2023-06-15,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-06-16,Partly cloudy throughout the day with rain.,rain
5,2023-06-17,Cloudy skies throughout the day with rain.,rain
6,2023-06-18,Cloudy skies throughout the day with rain.,rain
7,2023-06-19,Partly cloudy throughout the day.,partly-cloudy-day
