,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-06-26,27.8,20.7,23.1,29.7,20.7,23.2,20.1,84.0,0.045,100,4.17,rain,0,0,25.9,22.1,142.4,1009.7,83.9,15.4,177.9,15.3,8,30,2023-06-26T05:09:00,2023-06-26T20:25:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-06-27,26.7,20.7,23.0,27.8,20.7,23.0,19.6,81.8,14.366,100,29.17,rain,0,0,53.6,31.1,173.7,1008.0,87.9,15.3,151.8,13.1,6,10,2023-06-27T05:09:23,2023-06-27T20:25:12,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-06-28,26.8,20.7,22.7,28.4,20.7,22.9,19.7,83.8,15.618,100,41.67,rain,0,0,37.1,22.2,176.6,1009.5,90.4,15.0,146.6,12.6,6,30,2023-06-28T05:09:47,2023-06-28T20:25:10,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-06-29,27.1,19.3,22.5,28.1,19.3,22.6,18.4,78.6,0.004,100,4.17,rain,0,0,25.9,23.8,187.5,1014.5,79.5,16.0,187.4,16.1,9,10,2023-06-29T05:10:14,2023-06-29T20:25:07,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
4,"Boston, MA, United States",2023-06-30,24.5,18.8,21.7,24.5,18.8,21.7,17.9,79.6,0.0,12,0.0,rain,0,0,18.4,14.5,165.2,1017.7,41.4,15.7,295.2,25.7,8,10,2023-06-30T05:10:42,2023-06-30T20:25:02,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
5,"Boston, MA, United States",2023-07-01,24.5,18.4,21.3,24.5,18.4,21.3,18.0,82.0,0.0,20,0.0,rain,0,0,25.9,14.8,158.5,1017.4,49.8,15.5,305.8,26.2,8,10,2023-07-01T05:11:12,2023-07-01T20:24:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-07-02,23.9,20.6,22.2,23.9,20.6,22.2,19.4,84.3,3.1,61,20.83,rain,0,0,31.3,20.2,177.7,1013.0,79.7,11.6,212.3,18.4,7,10,2023-07-02T05:11:43,2023-07-02T20:24:44,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
7,"Boston, MA, United States",2023-07-03,26.4,21.8,24.0,26.4,21.8,24.0,21.5,86.3,5.8,66,29.17,rain,0,0,31.7,21.6,191.5,1010.5,76.3,11.2,176.0,15.3,5,10,2023-07-03T05:12:16,2023-07-03T20:24:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
