,datetime,description,icon
0,2023-06-19,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-06-20,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-06-21,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-06-22,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-06-23,Cloudy skies throughout the day.,cloudy
5,2023-06-24,Cloudy skies throughout the day with rain.,rain
6,2023-06-25,Partly cloudy throughout the day with afternoon rain.,rain
7,2023-06-26,Partly cloudy throughout the day with afternoon rain.,rain
