,datetime,tempmin,temp,tempmax
0,2023-06-19,15.5,16.8,18.0
1,2023-06-20,13.7,16.0,18.0
2,2023-06-21,13.8,16.4,18.5
3,2023-06-22,14.2,16.8,19.0
4,2023-06-23,16.1,19.2,23.4
5,2023-06-24,20.0,22.7,26.1
6,2023-06-25,21.7,24.5,27.9
7,2023-06-26,20.7,23.1,27.8
