,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-06-19,18.0,15.5,16.8,18.0,15.5,16.8,12.9,78.3,0.0,0,0.0,,0,0,20.5,22.0,98.9,1018.7,75.1,16.0,158.2,13.7,5,10,2023-06-19T05:07:12,2023-06-19T20:24:06,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-06-20,18.0,13.7,16.0,18.0,13.7,16.0,12.5,79.9,0.0,0,0.0,,0,0,27.7,25.7,110.9,1024.2,74.2,16.0,175.7,15.3,6,10,2023-06-20T05:07:21,2023-06-20T20:24:22,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-06-21,18.5,13.8,16.4,18.5,13.8,16.4,12.5,77.9,0.0,0,0.0,,0,0,25.9,20.4,90.5,1027.1,40.9,15.9,272.3,23.5,8,10,2023-06-21T05:07:33,2023-06-21T20:24:35,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-06-22,19.0,14.2,16.8,19.0,14.2,16.8,13.0,78.5,0.0,0,0.0,,0,0,31.7,23.8,75.4,1023.8,63.7,16.0,291.9,25.4,8,10,2023-06-22T05:07:47,2023-06-22T20:24:46,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-06-23,23.4,16.1,19.2,23.4,16.1,19.2,16.2,83.3,0.0,0,0.0,,0,0,18.4,18.1,95.4,1017.7,90.7,13.9,213.2,18.3,10,10,2023-06-23T05:08:02,2023-06-23T20:24:56,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-06-24,26.1,20.0,22.7,26.1,20.0,22.7,19.9,84.5,1.32,100,33.33,rain,0,0,40.7,31.2,196.4,1011.6,90.6,14.9,101.2,8.7,3,10,2023-06-24T05:08:19,2023-06-24T20:25:03,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-06-25,27.9,21.7,24.5,30.1,21.7,24.7,20.1,77.0,0.483,100,4.17,rain,0,0,18.4,21.9,193.1,1009.3,67.6,16.0,212.2,18.4,9,30,2023-06-25T05:08:39,2023-06-25T20:25:08,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-06-26,27.8,20.7,23.1,29.7,20.7,23.2,20.1,84.0,0.045,100,4.17,rain,0,0,25.9,22.1,142.4,1009.7,83.9,15.4,177.9,15.3,8,30,2023-06-26T05:09:00,2023-06-26T20:25:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
